Tabel;Väli;Selgitus
toimumisaeg;nimi_jrk;"kas PDF protokollides (üleandmisprotokollides, toimumisprotokollides, hindamisprotokollides) järjestada sooritajad nime järgi (kui ei, siis järjestatakse töö koodi järgi)"
toimumisaeg;valjastuskoti_maht;"mitu testitööd mahub ühte kotti"
toimumisaeg;tagastuskoti_maht;"mitu testitööd mahub ühte kotti"
toimumisaeg;komplekt_valitav;"kas sooritaja saab ise komplekti valida (või valib süsteem juhuslikult)"
toimumisaeg;komplekt_valitav_y1;"kui sooritaja saab komplekti valida, siis kas valida saab ainult iga komplekti esimese ülesande juures (või võib ka mujal valida)"
toimumisaeg;vaatleja_tasu;"vaatleja töötasu"
toimumisaeg;vaatleja_lisatasu;"läbiviija lisatasu, mida makstakse vaatlejatele, komisjoniliikmetele ja komisjoniesimeestele üleajalise töö eest"
toimumisaeg;komisjoniliige_tasu;"eksamikomisjoni liikme tasu"
toimumisaeg;esimees_tasu;"eksamikomisjoni esimehe tasu"
toimumisaeg;konsultant_tasu;"konsultandi tasu (konsultatsiooni toimumisaja korral)"
toimumisaeg;admin_tasu;"testi administraatori tasu"
toimumisaeg;on_kogused;"kas ümbrike ja kottide kogused on arvutatud"
toimumisaeg;on_ymbrikud;"kas ümbrike ja kottide kirjed on loodud"
toimumisaeg;on_hindamisprotokollid;"kas hindamisprotokollid ja muud hindamiseks vajalikud kirjed on loodud"
toimumisaeg;hindajad_seq;"toimumisaja hindajate tähiste sekvents"
toimumisaeg;labiviijad_seq;"toimumisaja läbiviijate tähiste sekvents"
toimumisaeg;testikohad_seq;"toimumisaja testikohtade tähiste sekvents"
toimumisaeg_komplekt;TABEL 1.230;"Ülesandekomplektid, mis on antud toimumisajal kasutusel"
toimumisaeg_komplekt;toimumisaeg_id;"viide toimumisajale"
toimumisaeg_komplekt;komplekt_id;"viide ülesandekomplektile"
toimumispaev;TABEL 1.231;"Toimumisaja kuupäev ja kellaaeg"
toimumispaev;created;"kirje loomise aeg"
toimumispaev;modified;"kirje viimase muutmise aeg"
toimumispaev;creator;"kirje looja isikukood"
toimumispaev;modifier;"kirje viimase muutja isikukood"
toimumispaev;id;"kirje identifikaator"
toimumispaev;toimumisaeg_id;"viide toimumisajale"
toimumispaev;seq;"toimumispäeva jrk nr toimumisajal (toimumise sessioon)"
toimumispaev;aeg;"testi kuupäev koos alguskellaga (kui kell on 00.00, siis kell puudub)"
toimumispaev;alustamise_lopp;"kellaaeg, millest varem peab sooritamist alustama (kui toimumisaeg.aja_jargi_alustatav=True)"
toimumispaev;lopp;"kellaaeg, millal hiljemalt peab sooritamine lõppema (isegi, kui piiraeg ei ole täis)"
toimumispaev;valim;"True - sellele ajale saab valimisse kuuluvaid sooritajaid suunata, False - sellele ajale ei või valimi sooritajaid suunata, None - sellel toimumisajal ei ole määratud valimi sooritajate aeg"
toimumisprotokoll;TABEL 1.232;"Testi toimumise protokoll.     Võib olla seotud:     - testimiskorra ja kohaga (põhikooli eksamid)     - ühe toimumisaja ühe testikohaga (riigieksamid)     - testikoha ühe testiruumiga (TE, SE)     - pedagoogile määratud testi ühe testiruumiga (kutseeksam)."
toimumisprotokoll;created;"kirje loomise aeg"
toimumisprotokoll;modified;"kirje viimase muutmise aeg"
toimumisprotokoll;creator;"kirje looja isikukood"
toimumisprotokoll;modifier;"kirje viimase muutja isikukood"
toimumisprotokoll;id;"kirje identifikaator"
toimumisprotokoll;testimiskord_id;"viide testimiskorrale (puudub kutseeksami korral)"
toimumisprotokoll;koht_id;"viide kohale"
toimumisprotokoll;testikoht_id;"viide testikohale ja toimumisajale (kui toimumise protokoll ei ole toimumisajaga seotud, siis viide esimese testiosa toimumisaja testikohale)"
toimumisprotokoll;testiruum_id;"viide testiruumile, kui toimumise protokoll on testiruumiga seotud (SE, TE)"
toimumisprotokoll;lang;"soorituskeel (e-testis ja p-testi tulemustega protokollil puudub, sest on ühine kõigi keelte kohta)"
toimumisprotokoll;staatus;"testi toimumise protokolli olek: 0 - kehtetu, 1 - kehtiv, 2 - kinnitatud, 3 - kinnitatud eksamikeskuse poolt"
toimumisprotokoll;markus;"märkused"
toimumisprotokoll;filename;"failinimi"
toimumisprotokoll;filesize;"faili suurus baitides"
toimumisprotokoll;fileversion;"versioon"
toimumisprotokoll;kehtivuskinnituseta;"kohalikust serverist saadud DDOCi kohta: kas on Sertifitseerimiskeskuse poolt kehtivuskinnitatud või ei ole veel (kohalikus serveris ei ole võimalik kehtivuskinnitusteenust kasutada)"
toimumisprotokoll;edastatud;"kohaliku serveri korral: protokolli ja vastuste faili keskserverisse edastamise aeg"
toofail;TABEL 1.233;"Tööde PDF failid koos hindamisjuhendiga koolidele jagamiseks"
toofail;created;"kirje loomise aeg"
toofail;modified;"kirje viimase muutmise aeg"
toofail;creator;"kirje looja isikukood"
toofail;modifier;"kirje viimase muutja isikukood"
toofail;id;"kirje identifikaator"
toofail;filename;"failinimi"
toofail;filesize;"faili suurus baitides"
toofail;fileversion;"versioon"
toofail;mimetype;"failitüüp"
toofail;kirjeldus;"kirjeldus"
toofail;test_id;"viide testile, kui fail käib teatud testi kohta ja on loetav koolides, kus on selle testi sooritajaid"
toofail;oppetase_kood;"õppetase, EISi klassifikaator OPPETASE: y - üldharidus, u - kutseharidus, o - kõrgharidus, NULL - plangivaba tase (alusharidus või huviharidus), fail on loetav koolides, millel on antud tase"
toofail;avalik_alates;"kuupäev ja kellaaeg, millest alates fail on koolidele nähtav"
toofailitase;TABEL 1.234;"Õppekavad ja õppekavajärgsed haridustasemed, mida omaval koolil on võimalus faili alla laadida     Võimalikud haridustasemed sõltuvad õppetasemest."
toofailitase;created;"kirje loomise aeg"
toofailitase;modified;"kirje viimase muutmise aeg"
toofailitase;creator;"kirje looja isikukood"
toofailitase;modifier;"kirje viimase muutja isikukood"
toofailitase;id;"kirje identifikaator"
toofailitase;toofail_id;"viide failile"
toofailitase;kavatase_kood;"õppekavajärgne haridustase, klassifikaator KAVATASE"
tookogumik;TABEL 1.235;"Töökogumik"
tookogumik;created;"kirje loomise aeg"
tookogumik;modified;"kirje viimase muutmise aeg"
tookogumik;creator;"kirje looja isikukood"
tookogumik;modifier;"kirje viimase muutja isikukood"
tookogumik;id;"kirje identifikaator"
tookogumik;nimi;"nimekirja nimetus"
tookogumik;aine_kood;"õppeaine, klassifikaator AINE"
tookogumik;klass;"klass"
tookogumik;kasutaja_id;"töökogumiku omanik"
tookogumik;avalik;"kas kõik pedagoogid võivad seda töökogumikku vaadata"
toovaataja;TABEL 1.236;"Testitöö vaatamise õigus     (kasutusel gümnaasiumite sisseastumistestides, kui.sooritaja vaidlustab oma tulemuse     ning kooli töötajale antakse õigus tema testitööd vaadata)"
toovaataja;created;"kirje loomise aeg"
toovaataja;modified;"kirje viimase muutmise aeg"
toovaataja;creator;"kirje looja isikukood"
toovaataja;modifier;"kirje viimase muutja isikukood"
toovaataja;id;"kirje identifikaator"
toovaataja;sooritaja_id;"viide testitööle, mille vaatamiseks on õigus"
toovaataja;kasutaja_id;"viide kasutajale, kellel on õigus testitööd vaadata"
toovaataja;kehtib_kuni;"õiguse kehtimise lõpp"
tulemus;TABEL 1.237;"Küsimusele antud vastuse hindamise tingimused ehk hindamismaatriks.     Kirje vastab ühele küsimusele.     Tulemuse jaoks on eraldi tabel tehtud QTIst mõjutatult     (QTI vaste responseDeclaration, osaliselt ka responseDeclaration/mapping),     põhimõtteliselt võiks QTIs olla üks tulemuse kirje mitme küsimuse peale."
tulemus;created;"kirje loomise aeg"
tulemus;modified;"kirje viimase muutmise aeg"
tulemus;creator;"kirje looja isikukood"
tulemus;modifier;"kirje viimase muutja isikukood"
tulemus;id;"kirje identifikaator"
tulemus;kood;"küsimuse kood, seob tulemuse kirje küsimusega"
tulemus;yhisosa_kood;"eri ülesannete küsimuste sidumiseks kasutatav kood, kui küsimuste statistika tehakse ühiselt"
tulemus;kardinaalsus;"QTI cardinality: single, multiple, ordered, orderedAdj, orderedSeq"
tulemus;baastyyp;"QTI baseType: identifier, boolean, integer, float, string, point, pair, directedPair, duration, file, uri"
tulemus;min_pallid;"minimaalne pallide arv, QTI lowerBound"
tulemus;max_pallid;"QTI upperBound, koostaja määratud max pallide arv, kui punktiarvutus arvutab suurema pallide arvu, siis antakse max_pallid palli"
tulemus;vaikimisi_pallid;"hindamismaatriksis puuduva vastuse eest antavad pallid, QTI defaultValue"
tulemus;oige_pallid;"õige vastuse eest antavad pallid (mitme valikuga tabelis, kus õige vastus märgitakse märkeruuduga)"
tulemus;vastus_pallid;"kas küsimuse vastus ongi punktide arv (arvutatud väärtuse korral)"
tulemus;max_pallid_arv;"arvutatud max võimalik pallide arv, kui max_pallid oleks seadmata"
tulemus;max_pallid_vastus;"hindamismaatriksis olev max pallide arv ühe üksikvastuse eest (kasutusel üksikvastuse õigsuse määramisel)"
tulemus;max_vastus;"kui vastuseid on sellest arvust rohkem, siis antakse min_pallid"
tulemus;min_oige_vastus;"kui õigeid vastuseid on sellest arvust vähem, siis antakse min_pallid"
tulemus;min_sonade_arv;"kui vastuses on arvust vähem sõnu, siis antakse min_pallid (avatud vastuse korral)"
tulemus;pintervall;"lubatud punktide intervall (käsitsi hindamisel)"
tulemus;tyhikud;"kas vastuse võrdlemisel arvestada tühikuid (true - arvestada, false - ignoreerida), juhul kui baastüüp on  string "
tulemus;lubatud_tyhi;"kas on lubatud tühi vastus (kui baastüüp on  string ,  integer  või  float )"
tulemus;tostutunne;"kas vastuse võrdlemisel olla tõstutundlik (kui baastüüp on  string ): true - tõstutundlik, false - tõstutundetu"
tulemus;ladinavene;"kas vastuse võrdlemisel lugeda sama välimusega ladina ja vene tähed samaväärseks"
tulemus;regavaldis;"kas vastuse võrdlemisel võtta hindamismaatriksi vastust regulaaravaldisena, juhul kui baastüüp on  string "
tulemus;regavaldis_osa;"kui kasutatakse regulaaravaldist, siis kas sellega kontrollitakse tekstiosa vastavust: true - tekstiosa vastamine avaldisele, false - terve vastuse vastamine avaldisele"
tulemus;valem;"kas vastuse võrdlemisel võtta hindamismaatriksi vastust valemina (võib viidata teistele küsimustele), juhul kui baastüüp on arvuline"
tulemus;vordus_eraldab;"kas võrdusmärk eraldab vastused, mida võrreldakse hindamismaatriksiga ükshaaval ja antakse palle kõrgeime pallide arvuga vastuse eest (matemaatika korral)"
tulemus;koik_oiged;"kui võrdusmärk eraldab vastused, kas siis punktide saamiseks peavad kõik osad olema õiged (matemaatika korral)"
tulemus;sallivusprotsent;"lubatud erinevus protsentides"
tulemus;ymard_komakohad;"mitme kohani peale koma vastus hindamismaatriksiga võrdlemisel ümardatakse (kui baastyyp=float)"
tulemus;ymardet;"kas hindamismaatriksis olevad arvud on ümardatud (true korral on tabamus juhul, kui lahendaja vastust saab ümardada hindamismaatriksis olevaks arvuks, false korral peab lahendaja vastama täpselt sama arvuga), reaalarvude korral"
tulemus;arvutihinnatav;"kas tulemusele vastav küsimus on arvutiga hinnatav"
tulemus;hybriidhinnatav;"kas käsitsihinnatav ülesanne on arvutihinnatav nende vastuste osas, mis leiduvad hindamismaatriksis"
tulemus;naidisvastus;"näidisvastus (selgitav tekst) või hindamisjuhend"
tulemus;naidis_naha;"kas näidisvastust näidata lahendajale (peale lahendamist) või ainult hindajale"
tulemus;ylesanne_id;"viide ülesandele"
tulemus;naide;"kas kysimus on vastuse näide (siis kuvatakse õige vastus alati lahendajale ja selle kysimuse eest palle ei anta), kui kogu sisuplokk on näide, siis vt sisuplokk.naide"
tulemus;maatriksite_arv;"hindamismaatriksite arv"
tulemus;oigsus_kysimus_id;"viide küsimusele, mille tulemus näitab, kas antud küsimus vastati õigesti (kasutusel õigete/valede vastuste värvimisel ja mitme küsimuse koos käsitsihindamisel)"
tulemusmall;TABEL 1.238;"Tulemuste reeglite mallid. EISi siseselt ei kasutata.     QTI responseProcessing"
tulemusmall;created;"kirje loomise aeg"
tulemusmall;modified;"kirje viimase muutmise aeg"
tulemusmall;creator;"kirje looja isikukood"
tulemusmall;modifier;"kirje viimase muutja isikukood"
tulemusmall;id;"kirje identifikaator"
tulemusmall;nimi;"malli nimi"
tulemusmall;kirjeldus;"malli kirjeldus"
tulemusmall;rp_uri;"malli URI"
tulemusmall;rp_location;"asukoht"
tulemusmall;rp_reeglid;"reeglite sisu"
tunnistus;TABEL 1.239;"Eksamitunnistus"
tunnistus;created;"kirje loomise aeg"
tunnistus;modified;"kirje viimase muutmise aeg"
tunnistus;creator;"kirje looja isikukood"
tunnistus;modifier;"kirje viimase muutja isikukood"
tunnistus;id;"kirje identifikaator"
tunnistus;kasutaja_id;"viide tunnistatud kasutajale"
tunnistus;tunnistusenr;"tunnistuse nr, riigieksami korral kujul 2AA-KKKSSS-J, kus: AA - aasta, KKK - kooli kood, SSS - tunnistus.seq sooritaja järjenr oma koolis), J - 1,2,3... (tunnistuse järjenr sooritaja jaoks)"
tunnistus;valjastamisaeg;"väljaandmise aeg"
tunnistus;avaldamisaeg;"tunnistuse avaldamise aeg (vajalik tasemeeksami sooritusteatel kuvamiseks)"
tunnistus;testsessioon_id;"testsessioon, mille soorituste kohta tunnistus antakse (EISi antud tunnistuste korral kohustuslik)"
tunnistus;oppeaasta;"õppeaasta (EISi antud tunnistuste korral kohustuslik)"
tunnistus;kool_koht_id;"kool, milles sooritaja õppis"
tunnistus;kool_kood;"kooli kood - algselt tunnistuse numbri sees olev kooli tähistav arv, enam ei kasutata"
tunnistus;seq;"sooritaja järjekorranumber testiliigi ja aasta piires (kasutusel tunnistuse numbri sees)"
tunnistus;filename;"failinimi"
tunnistus;filesize;"faili suurus baitides"
tunnistus;fileversion;"versioon"
tunnistus;staatus;"olek: 0 - kehtetu, 1 - kehtiv, dok salvestamata, 3 - kehtiv, dok salvestatud, 2 - avaldatud"
tunnistus;uuendada;"kas on vaja uus tunnistus teha (seatakse peale vaideotsust)"
tunnistus;eesnimi;"sooritaja eesnimi tunnistuse andmise ajal"
tunnistus;perenimi;"sooritaja perekonnanimi tunnistuse andmise ajal"
tunnistus;testiliik_kood;"tunnistuse liik, klassifikaator TESTILIIK"
tunnistus;mallinimi;"kasutatud PDF malli nimi"
tunnistus;alus;"väljastamise alus (käskkirja nr)"
tunnistus;pohjendus;"väljastamise põhjendus (sisestatakse samas sessioonis sooritajale tunnistuse korduva väljastamise korral)"
tunnistus;tyh_pohjendus;"tühistamise põhjendus"
tunnistus;aeg_registris;"tunnistuste registris andmete lisamise või muutmise aeg või NULL, kui on lisamata"
tunnistusekontroll;TABEL 1.240;"Tunnistuse PDFi metaandmete kontroll"
tunnistusekontroll;created;"kirje loomise aeg"
tunnistusekontroll;modified;"kirje viimase muutmise aeg"
tunnistusekontroll;creator;"kirje looja isikukood"
tunnistusekontroll;modifier;"kirje viimase muutja isikukood"
tunnistusekontroll;id;"kirje identifikaator"
tunnistusekontroll;tunnistus_id;"viide tunnistusele"
tunnistusekontroll;seisuga;"viimase kontrollimise aeg"
tunnistusekontroll;korras;"kontrolli tulemus: true - korras, false - viga"
tunnistusekontroll;viga;"vea korral vea kirjeldus"
turvakott;TABEL 1.241;"Materjalide eksamikeskusest väljastamise või      eksamikeskusse tagastamise turvakott"
turvakott;created;"kirje loomise aeg"
turvakott;modified;"kirje viimase muutmise aeg"
turvakott;creator;"kirje looja isikukood"
turvakott;modifier;"kirje viimase muutja isikukood"
turvakott;id;"kirje identifikaator"
turvakott;kotinr;"koti nr"
turvakott;testipakett_id;"viide testipaketile"
turvakott;suund;"suund: 1 - väljastuskott, 2 - tagastuskott"
turvakott;staatus;"olek, M_STAATUS"
tyyptekst;TABEL 1.242;"Kirjade tüüptekstid"
tyyptekst;created;"kirje loomise aeg"
tyyptekst;modified;"kirje viimase muutmise aeg"
tyyptekst;creator;"kirje looja isikukood"
tyyptekst;modifier;"kirje viimase muutja isikukood"
tyyptekst;id;"kirje identifikaator"
tyyptekst;tyyp;"kirja tüüp (vt Kiri.TYYP_*)"
tyyptekst;teema;"kirja teema"
tyyptekst;sisu;"kirja sisu"
vahend;TABEL 1.243;"Ülesande lahendajale lubatud abivahendid"
vahend;created;"kirje loomise aeg"
vahend;modified;"kirje viimase muutmise aeg"
vahend;creator;"kirje looja isikukood"
vahend;modifier;"kirje viimase muutja isikukood"
vahend;id;"kirje identifikaator"
vahend;vahend_kood;"abivahendi kood tabelis Abivahend"
vahend;ylesanne_id;"viide ülesandele"
vaideallkiri;TABEL 1.244;"Vaideotsuse allkirjastajad, lisatakse kasutajarollide järgi otsuse genereerimisel.     Hiljem, kui allkiri antakse, tehakse kirjes vastav märge."
vaideallkiri;created;"kirje loomise aeg"
vaideallkiri;modified;"kirje viimase muutmise aeg"
vaideallkiri;creator;"kirje looja isikukood"
vaideallkiri;modifier;"kirje viimase muutja isikukood"
vaideallkiri;id;"kirje identifikaator"
vaideallkiri;vaie_id;""
vaideallkiri;kasutaja_id;"allkirjastaja"
vaideallkiri;jrk;"allkirjastamise jrk nr (kasutajarollist)"
vaideallkiri;allkirjastatud;"allkirjastamise aeg (kui puudub, siis ei ole veel allkirjastatud)"
vaidefail;TABEL 1.245;"Vaide juurde lisatud fail"
vaidefail;created;"kirje loomise aeg"
vaidefail;modified;"kirje viimase muutmise aeg"
vaidefail;creator;"kirje looja isikukood"
vaidefail;modifier;"kirje viimase muutja isikukood"
vaidefail;id;"kirje identifikaator"
vaidefail;vaie_id;""
vaidefail;filename;"failinimi"
vaidefail;filesize;"faili suurus"
vaidefail;fileversion;"versioon"
vaidelogi;TABEL 1.246;"Vaide menetlemise logi"
vaidelogi;created;"kirje loomise aeg"
vaidelogi;modified;"kirje viimase muutmise aeg"
vaidelogi;creator;"kirje looja isikukood"
vaidelogi;modifier;"kirje viimase muutja isikukood"
vaidelogi;id;"kirje identifikaator"
vaidelogi;vaie_id;""
vaidelogi;kasutaja_id;""
vaidelogi;tegevus;"tegevus: 0 - menetlusse võtmine, 1 - tulemuse arvutamine, 2 - otsuse loomine, 3 - allkirjastamine, 4 - edastamine, 5 - lõpetatuks märkimine, 11 - otsuse eelnõu loomine, 12 - otsuse eelnõu edastamine, 13 - otsustamisele võtmine, 14 - vaide tagasi võtmine"
vaidelogi;tapsustus;"tegevuse täpsustus"
vaie;TABEL 1.247;"Tesi.sooritaja vaie Haridus- ja Teadusministeeriumile"
vaie;created;"kirje loomise aeg"
vaie;modified;"kirje viimase muutmise aeg"
vaie;creator;"kirje looja isikukood"
vaie;modifier;"kirje viimase muutja isikukood"
vaie;id;"kirje identifikaator"
vaie;sooritaja_id;"viide.sooritaja kirjele"
vaie;vaide_nr;"vaide number, sisestatakse vaide registreerimisel, hiljem kasutatakse otsuse numbrina"
vaie;markus;""
vaie;esitamisaeg;"vaide esitamise aeg"
vaie;avaldus_dok;"vaide avalduse digiallkirjastatud dokument"
vaie;avaldus_ext;"avalduse vorming: ddoc või bdoc või asice"
vaie;ettepanek_pohjendus;"ettepaneku põhjendus"
vaie;ettepanek_pdok;"pooleli digiallkirjastamisega ettepaneku dokument (kui allkirjastamine pole pooleli, siis tühi)"
vaie;ettepanek_dok;"vaide kohta tehtud ettepaneku digiallkirjastatud dokument"
vaie;ettepanek_ext;"ettepaneku vorming: ddoc või bdoc või asice"
vaie;h_arvestada;"kas tulemuse arvutamisel arvestada vaidehindamist: kui otsuse eelnõu on juba olemas, siis jah, enne eelnõu loomist loetakse hindamist pooleliolevana ja tulemust pole"
vaie;eelnou_pohjendus;"otsuse eelnõu põhjendus"
vaie;eelnou_pdf;"otsuse eelnõu PDFina"
vaie;arakuulamine_kuni;"ärakuulamise tähtaeg, kuni milleni on vaidlustajal võimalik eelnõu kohta arvamust esitada (peale seda läheb vaie otsustamisele)"
vaie;tagasivotmine_dok;"avaldus vaide tagasivõtmiseks (vaiet saab tagasi võtta kuni otsuse langetamiseni)"
vaie;tagasivotmine_ext;"tagasivõtmise avalduse failitüüp"
vaie;otsus_pohjendus;"otsuse põhjendus"
vaie;otsus_kp;"otsuse kuupäev"
vaie;otsus_pdf;"vaide kohta tehtud otsus PDFina"
vaie;otsus_pdok;"pooleli digiallkirjastamisega otsuse dokument (kui allkirjastamine pole pooleli, siis tühi)"
vaie;otsus_dok;"vaide kohta tehtud otsuse digiallkirjastatud dokument"
vaie;otsus_ext;"otsuse vorming: ddoc või bdoc või asice"
vaie;otsus_epostiga;"kas vaidlustaja soovib otsust e-postiga"
vaie;staatus;"staatus: 0 - esitamata, 1 - esitatud, 2 - menetlemisel, 4 - ettepanek esitatud vaidekomisjonile, 5 - ärakuulamise tähtaeg on läbi, 6 - otsustatud, 7 - tagasi võetud"
vaie;valjaotsitud;"kas on välja otsitud (vaiete loetelus linnukesega)"
vaie;allkirjad;"antud allkirjade arv otsusel"
vaie;pallid_enne;"vaide esitamise ajal kehtinud tulemus"
vaie;pallid_parast;"vaidlustusjärgne tulemus"
vaie;muutus;"hindepallide muutus (pallid_parast-pallid_enne)"
vaie;tunnistada;"mida teha tunnistusega: NULL - mitte midagi (pole vaja tunnistust muuta või on juba tehtud), 1 - uuendada, 2 - väljastada uus, 3 - tühistada"
valik;TABEL 1.248;"Valikülesande valik."
valik;created;"kirje loomise aeg"
valik;modified;"kirje viimase muutmise aeg"
valik;creator;"kirje looja isikukood"
valik;modifier;"kirje viimase muutja isikukood"
valik;id;"kirje identifikaator"
valik;seq;"valiku järjekorranumber küsimuse sees"
valik;kood;"kood, kasutusel hindamismaatriksis"
valik;min_vastus;"min vastuste arv"
valik;max_vastus;"max vastuste arv"
valik;nimi;"valiku sisu"
valik;selgitus;"selgitus"
valik;varv;"valiku värv (alade värvimise korral)"
valik;kysimus_id;"viide küsimusele"
valik;eraldi;"kui esinemiste arv on ühest suurem, siis kas pilti kuvada pangas ühekordselt või iga eksemplar eraldi (tekstide lohistamine)"
valik;joondus;"lohistatava kirjavahemärgi joondus lünkadeta pangaga lünktekstis: left - vasak, center - kesk, right - parem"
valik;fikseeritud;"kas valiku asukoht on fikseeritud (järjestamise korral)"
valik;row_type;"valiku tüüp: h - piirkond pildil, NULL - tekst"
valik;kohustuslik_kys;"nende küsimuste koodid, mis muutuvad valiku valimisel kohustuslikuks"
valik;sp_peida;"nende sisuplokkide tähised, mis valiku valimisel peidetakse"
valik;sp_kuva;"nende sisuplokkide tähised, mis valiku valimisel kuvatakse"
valik;max_pallid;"valiku maksimaalne pallide arv, kasutusel paarisvastustega küsimustes statistikute jaoks"
valik;kujund;"piirkonna kujund: rect, circle, elliplse,..."
valik;nahtamatu;"kas piirkond on lahendajale nähtamatu (st kontuuri lahendajale ei kuvata, valikupiirkonna korral)"
valikvastus;TABEL 1.249;"Andmed valikvastuse koodi seostamiseks valiku kirjega,      et statistikutel oleks lihtsam vastuste sisu lugeda.     Valikvastused on tabelites kvsisu ja hindamismaatriks esitatud koodide abil.     Käesolevas tabelis kirjeldatakse, millise küsimuse valikute seast on vaja neid koode otsida."
valikvastus;created;"kirje loomise aeg"
valikvastus;modified;"kirje viimase muutmise aeg"
valikvastus;creator;"kirje looja isikukood"
valikvastus;modifier;"kirje viimase muutja isikukood"
valikvastus;id;"kirje identifikaator"
valikvastus;tulemus_id;"viide tulemuse kirjele"
valikvastus;maatriks;"mitmes hindamismaatriks (üldjuhul alati 1, aga kolme hulgaga sobitamisel on olemas ka 2 ja 3)"
valikvastus;valik1_kysimus_id;"kysimus_id, mille järgi leida tabelist Valik kvsisu.kood1 kirje"
valikvastus;valik2_kysimus_id;"kysimus_id, mille järgi leida tabelist Valik kvsisu.kood2 kirje"
valikvastus;vahetada;"kas statistikute vaates statvastus vahetada valik1 ja valik2 omavahel"
valikvastus;statvastuses;"kas vastust näidata statistikutele statvastuse vaates"
valikvastus;mittevastus;"kas vastused kuvada Exceli väljavõttes: null - kuvada, true - kuvada ainult punktid, mitte vastused"
valikvastus;sisujarjestus;"kas on järjestuse tüüpi küsimus (kvsisu.sisu on moodustatud valik1 koodide järjestusena, semikoolonitega eraldatult)"
valikvastus;paarina;"NULL - vastus pole paar, false - vastus on paar, aga kuvatakse mitme eraldi küsimusena, true - vastus on paar ja kuvatakse paarina"
valikvastus;analyys1;"kas statvastuses kasutada kvsisu analyysikirjet ning arvestada max_vastus=1"
valitudylesanne;TABEL 1.250;"Antud ülesandekomplektis testiülesandesse valitud ülesanne"
valitudylesanne;created;"kirje loomise aeg"
valitudylesanne;modified;"kirje viimase muutmise aeg"
valitudylesanne;creator;"kirje looja isikukood"
valitudylesanne;modifier;"kirje viimase muutja isikukood"
valitudylesanne;id;"kirje identifikaator"
valitudylesanne;seq;"valikülesande järjekorranumber (kui on valikülesanne)"
valitudylesanne;ylesanne_id;"viide valitud ülesandele"
valitudylesanne;testiylesanne_id;"viide testiülesandele"
valitudylesanne;koefitsient;"testiülesande max pallide ja ülesande max pallide suhe, millega hindaja antud toorpunkte korrutades saadakse hindepallid"
valitudylesanne;komplekt_id;"viide komplektile"
valitudylesanne;test_id;"viide testile (testiylesanne.testiosa.test dubleerimine päringute lihtsutamiseks)"
valitudylesanne;hindamiskogum_id;"viide hindamiskogumile, millesse testiülesanne kuulub (ainult lõdva struktuuriga testiosa korral, muidu on seos hindamiskogumiga testiülesande kirjes)"
valitudylesanne;selgitus;"selgitav tekst lahendajale (jagatud töö korral)"
valjastusymbrik;TABEL 1.251;"Testiruumi ja väljastusümbrikuliigiga seotud ümbrike kogus."
valjastusymbrik;created;"kirje loomise aeg"
valjastusymbrik;modified;"kirje viimase muutmise aeg"
valjastusymbrik;creator;"kirje looja isikukood"
valjastusymbrik;modifier;"kirje viimase muutja isikukood"
valjastusymbrik;id;"kirje identifikaator"
valjastusymbrik;testipakett_id;"viide testipaketile"
valjastusymbrik;kursus_kood;"valitud kursus, lai või kitsas (matemaatika korral), klassifikaator KURSUS"
valjastusymbrik;testiruum_id;"viide testiruumile, kui ümbrik on ruumikaupa (ümbriku liigis on sisukohta=3)"
valjastusymbrik;valjastusymbrikuliik_id;"väljastusümbrikuliik"
valjastusymbrik;toodearv;"väljastatavate tööde arv, mis on saadud testiruumi sooritajate arvule lisatööde koefitsienti ja ümarduskordajat rakendades"
valjastusymbrik;ymbrikearv;"ümbrike arv, mis on saadud tööde arvu jagamisel ümbriku mahuga"
valjastusymbrik;arvutus;"arvutusprotsessi tunnus"
valjastusymbrikuliik;TABEL 1.252;"Väljastusümbriku liik"
valjastusymbrikuliik;created;"kirje loomise aeg"
valjastusymbrikuliik;modified;"kirje viimase muutmise aeg"
valjastusymbrikuliik;creator;"kirje looja isikukood"
valjastusymbrikuliik;modifier;"kirje viimase muutja isikukood"
valjastusymbrikuliik;id;"kirje identifikaator"
valjastusymbrikuliik;tahis;"liigi tähis, määratakse automaatselt kujul 1,2,..."
valjastusymbrikuliik;nimi;"nimetus"
valjastusymbrikuliik;toimumisaeg_id;"viide toimumisajale"
valjastusymbrikuliik;maht;"mitu testitööd mahub ühte ümbrikusse"
valjastusymbrikuliik;lisatoode_koef;"lisatööde koefitsient, millega korrutatakse sooritajate arv läbi ja ümardatakse üles ning saadakse antud liiki ümbrikus saadetavate tööde arv"
valjastusymbrikuliik;lisatoode_arv;"lisatööde arv, mis liidetakse sooritajate arvule"
valjastusymbrikuliik;ymarduskordaja;"testiruumi saadetavate tööde arv peab selle arvuga jaguma (tavaliselt 1, 5 või 10)"
valjastusymbrikuliik;keeleylene;"false - eraldi väljastusümbrik iga keele ja kursuse kohta, true - ühine väljastusümbrik kõigile keeltele ja kursustele (tehtud matemaatika riigieksami mustandite jaoks)"
valjastusymbrikuliik;sisukohta;"mille kohta ümbrik teha: 3 - testipaketi kohta, 4 - testiruumi kohta"
valjund;TABEL 1.253;"Väljundmuutujate deklareerimine (nt SCORE). EISi siseselt ei kasutata.     QTI outcomeDeclaration"
valjund;created;"kirje loomise aeg"
